External ID,Document Number,Transaction Number,Maximum of Linked Invoice,Type,Date,Period,Terms,Maximum of Due Date/Receive By,Vendor Category,Vendor Name,Vendor Number,Company Name,Vendor VAT Registration Number,Vendor Billing Address,Vendor Billing Country,Bill to City,Bill to State,Bill to Country,Bill to Zip,Source System,Source System Identifier,City,State/Province,Country,Zip,Currency,Memo (Main),Maximum of GMAX Tax Code,Maximum of NetSuite Tax Item,Maximum of Coupa Tax Code,Maximum of External System Tax Code,Maximum of Tax Code (Consolidated),FOP Type,Sum of Asset,Sum of Accounts Payable,Sum of Other Liabilities,Sum of Income,Sum of Expense,Sum of VAT
- None -,221686,219511, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Reval_Feb'20_030820,,,,,,- None -,-8858.41,,-477.36,,9335.77,
- None -,222529,220354, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Reval_Local_Feb'20_031120,,,,,,- None -,,,,,,
- None -,222531,220356, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,Reval_Local_Feb'20_031120,,,,,,- None -,,,,,,
- None -,222826,220651, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,222827,220652, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,222828,220653, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,222829,220654, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,222830,220655, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,222831,220656, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,222832,220657, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,0,,,,0,
- None -,222833,220658, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
- None -,223612,221437, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,0,,,0,
- None -,223613,221438, ,Currency Revaluation,3/1/2020,Mar-20,- None -,,- None -,- None -,,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,- None -,Copenhagen K,- None -,Denmark,DK-1366,Danish Krone,- None -,,,,,,- None -,,,,,,
